#           M     M*dndm_      dndm_j     f(sig)_  lnsigma_j    neff_j       ngtm_   sigma_j
  5.01187e+10 4.68817e-02 9.35414e-13 2.73001e-01  -1.068671 -2.310894 5.10576e-02  2.911507
  5.62341e+10 4.21928e-02 7.50306e-13 2.73430e-01  -1.055392 -2.305235 4.59300e-02  2.873102
  6.30957e+10 3.79467e-02 6.01415e-13 2.73859e-01  -1.042013 -2.300007 4.13168e-02  2.834917
  7.07946e+10 3.41670e-02 4.82621e-13 2.74285e-01  -1.028523 -2.293926 3.71656e-02  2.796932
  7.94328e+10 3.07384e-02 3.86974e-13 2.74709e-01  -1.014919 -2.288369 3.34294e-02  2.759141
  8.91251e+10 2.76577e-02 3.10324e-13 2.75129e-01  -1.001212 -2.282658 3.00678e-02  2.721577
  1.00000e+11 2.49054e-02 2.49054e-13 2.75544e-01  -0.987386 -2.276316 2.70421e-02  2.684209
  1.12202e+11 2.23997e-02 1.99637e-13 2.75954e-01  -0.973446 -2.270791 2.43190e-02  2.647050
  1.25893e+11 2.01641e-02 1.60169e-13 2.76356e-01  -0.959395 -2.264547 2.18688e-02  2.610117
  1.41254e+11 1.81545e-02 1.28524e-13 2.76751e-01  -0.945220 -2.258104 1.96630e-02  2.573380
  1.58489e+11 1.63275e-02 1.03020e-13 2.77135e-01  -0.930931 -2.252392 1.76780e-02  2.536870
  1.77828e+11 1.47017e-02 8.26735e-14 2.77508e-01  -0.916523 -2.245714 1.58919e-02  2.500580
  1.99526e+11 1.32312e-02 6.63133e-14 2.77869e-01  -0.901985 -2.239312 1.42839e-02  2.464491
  2.23872e+11 1.19025e-02 5.31663e-14 2.78215e-01  -0.887332 -2.233165 1.28371e-02  2.428643
  2.51189e+11 1.07184e-02 4.26707e-14 2.78545e-01  -0.872551 -2.226107 1.15349e-02  2.393008
  2.81838e+11 9.64113e-03 3.42080e-14 2.78855e-01  -0.857639 -2.219819 1.03630e-02  2.357587
  3.16228e+11 8.67604e-03 2.74361e-14 2.79145e-01  -0.842606 -2.213067 9.30854e-03  2.322411
  3.54813e+11 7.81168e-03 2.20163e-14 2.79412e-01  -0.827435 -2.205770 8.35943e-03  2.287445
  3.98107e+11 7.02391e-03 1.76433e-14 2.79652e-01  -0.812134 -2.199417 7.50542e-03  2.252711
